Video ID,Comments,Comment Count
jSseXnm0z6Q,,0
Zs--zrRrUzk,,1194
miXs3RKeyjU,,9
esJD_DvM0Cg,,23
NW_lNs5imhk,,3
2XifkqnMI0Q,,0
RVEUlE19-Y8,,288
YP4JIjGOHhY,,207
s9O_ZAo1vtA,,0
SRgCqV3N7bk,,0
rn7SvGDs8MY,,0
PkhQ6ZyppSs,,12
1UEqW-wGOpA,,15
6PnJbHRAhTk,,13
t1_x1OKXZyQ,,27
x_Q3LGP5fxc,,15
7YIPrXYe0xs,,22
5wlFEOQSUfQ,,5
YeLMDQWSXpE,,0
hfmk-tPeK7E,,41
y1-dvkI0iAY,,0
HqErzpTzSS0,,0
C2N_DR_b9Xg,,0
-8Lqqq6A0n8,,0
97I_wJxDepI,,165
aeCz46bFRik,,0
OrV6rc_VjhI,,69
AWOVvOUrz9Y,,1561
54k6RZj1s1E,,0
Z5knQTc76vU,,26
1spCac12CfY,,25
0WcP7ZwpIOY,,0
6hw3kkNdbLo,,492
QHExzvimbGc,,78
qJuGHovSRE0,,27
ELYg5_IDUE8,,451
uoiQYyVfKwY,,283
3NH4w1X8QwQ,,0
6ZAQU7Hl2Kk,,367
r9y3KkoMa_4,,0
zhfJrvI3x-A,,6
L1OREVCgFOA,,0
BH3t8GSR9OE,,1
fmZ7hEP3V4I,,0
uK8deB01EN0,,13
F6Amq4YCDPo,,54
re0bNbmB7DU,,32
9MTVHXVYrKY,,173
3M0uBvtLyFo,,174
mEXsCeKObkg,,36
Od21cjF81zI,,0
Iot0eF6EoNA,,1066696
GODAlxW5Pes,,580980
LoZXboySl2I,,43436
qo8LVOjK7-8,,585
XVHneYYLxxE,,1564
8ucnKcemAWI,,162
gcHH34cEl3Y,,64948
WOgmj_RvYaU,,706
BVH_QN9GR8w,,597
tz9TN7ixPW0,,16033
VpGlHL9SniM,,1638
q10nfS9V090,,51739
8oUu1ZxaACo,,246
eCtbHeropTQ,,13779
2nlggMBLvxs,,258
UmhXhTmP0a0,,30759
uT9g3UViYJY,,112
-bMdUkYY6AM,,106
_k29OgWxK4Y,,48
bb0gMCITi48,,153
wdrYAIPlIm8,,8
U8z-YXVxoMQ,,5
uCTr7MGFK0U,,5939
hr0TjEHuZqE,,169
f3BZGUnAa8g,,84
_c0fgnpAlrI,,74
g7b0osWpG44,,106
eTAI6eQeD1k,,17
PKDquwfSoJw,,1
pKcamCgBvMo,,13225
nsOD3p2PfZk,,798
ip7lpXvFyQo,,6611
pEuVNxFeqpA,,2
wbZ5qr1IfhM,,7
wLT5keKUFIc,,12
9iaJstpr1Gk,,9
eYVnId5bS2k,,6
V55lQl1Fjlo,,4
TVgXG2yY_Bg,,80
870tv85usPA,,132
WSTSeMQdcZc,,3
_8CjUYejFw0,,2
XPYIWCwb84Y,,6
YPexGKycUXM,,3
4fdf44O2eUc,,5
O7C88qCz1TU,,5
kiHPKJ3ZEUM,,97
JFbcp7UUe7w,,268
D_R00saZYy8,,25
7hFs5u5cJZY,,14
QR1P2AlqR-E,,19
OYlloaSih48,,33
a5jwIieKF-I,,53
kbXNbVVAbak,,8
rEnnQWWVRxc,,176
D_Fe_f2STTA,,19
OvW1xP1EIsU,,6
fwMVhXR039E,,463
NEqJ1k2NEPQ,,850
Wck2GnT_uM0,,91
5q3xn_3ic6E,,14
p38B6nqq7KM,,0
yuLIxoKEfwM,,10
MpDsti-uUq0,,3
YwvgkQ0hug4,,11
pTfeS68ymzQ,,60
khoOkUzO4v4,,92
XM45CGXJ4zc,,16
B5LdSsNzgXM,,31
6CKm9Q8YLIw,,10
cvvgqI16vzk,,183
h2Kwb-du56Q,,480
dCOpkBzwex4,,1726
RecuqgimAjc,,129
Ui63GWBnRQ4,,269
IuxkqjSydUo,,3405
i8gV-l9exV0,,205
dbonxsTODqc,,99
6QkmbOmn0G0,,169
6sGo7Hpyqic,,222
7z1bv8CtQxs,,1468
zsn2vuO8x-Y,,867
HCMhRdRuMyU,,135
p-NgghB7rZ4,,75
3iH0YehfMB0,,1992
kg5iYB33_NE,,394
zVNmHMWv2mc,,1796
anjIfz7uh2U,,414
o4W2iBB8iwA,,1255
4XgBZX_pXjc,,156
cjUc2ih8FMs,,2980
PMHBvluKfZA,,735
WESgNmf2M1g,,128
szYCme1OkAc,,32
Wluus91PUjI,,98
wPsIiACH7hk,,167
ABWpxvYYyD8,,230
0Mw0mlKATLw,,268
dvDDm7gHzwQ,,455
T_GOpW7dAsg,,863
IHUwY55pWIs,,48
YFvO9K-nen8,,142
pU-Zhj7FKUw,,254
ZcFV_rJDa7s,,34630
0kj29DibaJ8,,204
GjE1FZbBOxw,,245
EC71GPjPfSs,,244
P3Ld5wHfVW4,,3414
UMNhg9ZlfSY,,41
fdCL6LAdN2w,,109
q6PXlsiwKrU,,220
sCbbMZ-q4-I,,344597
mZXn0RTb0TM,,9488
qKRtvHCa884,,1095
DjZfZHWkUDs,,5283
BHij4qznJxs,,425
y1CqXFZD-0c,,1097
VEkj2sanAeU,,281017
SrQMoN3v0Iw,,1179
cF0Mya0zuT8,,980
oVBp5TY7q0g,,793
1PdFPDolvEs,,667
iL8Kbq1lLSQ,,1017
3_6sviLtmm4,,768
mE_S5tUtb-s,,5481
tKmeJLujm4I,,1362
AxVWMUcStxk,,3525
i-93lPUIpVU,,592
TsNZZ1Se-iw,,1783
rH-dbIHR_lw,,2365
S-VTSEw3AwU,,6
vIGrZbKtj_U,,0
2jlOLIMUZVo,,1213
-RuSqMYcQK0,,19267
QQztYIN_ILg,,44
RKyPYWVlj78,,51
rTY0QLd5sR8,,5
BWcANNU71HA,,12
dKeRIOA28Jk,,16858
oGneAab3e88,,60900
ilUr1m4wWnQ,,131
m8L-qd-truQ,,56
S9OurEobSIk,,2570
ybZxO3uryEo,,422
bSkva8ZeMJk,,154
KTvdiIWenk8,,71
h--itzp_dVo,,4827
3Y4kqxdBEQ0,,329
r3mxrG2dIBY,,85
jE30Ro3Fd68,,65
OfhKr2sb17U,,75
NU_GDBObm1Y,,65
R4AqB_zewLo,,31
QYfvW2ynqJE,,35
tsrekysPoxc,,8
Wd9bx1HeLlw,,2845
Irv85GaWm8I,,1538
sqYKKjLZNk4,,877
0AEH2op8DRk,,1095
c1lin_f9lVg,,97
T502Ofsad1Q,,9
q67l_GOUzGc,,5729
Ni8KPvf1ydQ,,3004
yE2wG06knzM,,0
E30fT8gssd4,,7
AZoWW7Z1cSY,,137
P-NqFiNTovI,,405
nVjv_50EfNk,,260
vSgmKTUfD0g,,156
7BPhjrt7xzI,,106
F8ECUF2RlMs,,327
mSzmNFTlyrc,,302
WPrCibfTDK0,,134
b6K9R0EDEZA,,138
4-Dn0LmOfP0,,1634
HhWum37Mg8o,,3313
lGBFhT-KXSY,,134
T_-gIOBvsdw,,680
rbmNWoHEAuo,,1121
PYzFp5o4lhE,,1667
Zi9O471ruk8,,52
BhZhbm8rCXA,,174
FFQ6YWOsOUA,,106
XFZ1d0BD4x4,,1877
TSdeP5TPyv0,,243
i9EkgHlHjpQ,,428
FEHq5ngJRB0,,1011
N4yYjXsQV5s,,683
etV36Ny3PKM,,18914
keBi-IV5F_c,,2285
YNUI5Xgr4qo,,64
JfbxcD6biOk,,60933
AxexE-FmGk4,,416
KEAARjI-G-E,,2323
Pcv0aoOlsLM,,27987
S5Mi3fYSydM,,215
f-UzOpuKOVY,,2505
C00tnRGsivw,,235
NWatyBV1vo8,,0
CYVeKXe12XE,,3894
BHWrsTWR0xA,,1005
FNixcTWDIFA,,651
SQC17ASyYJA,,19
lFO6qENstJ8,,0
XyNOg9fW1dY,,0
Yh4MxRpqeDk,,0
JCpthIcigpY,,0
-kmed71sHzQ,,0
W1nTkO-tDOg,,0
JyiJYlYtaNc,,0
IDlKXoOKW_s,,0
6yISnmU0pKM,,0
zXRo18WJblQ,,793
oUVz9XeiC44,,114
xnsl9BSPjLA,,0
fmOzQMgFoEo,,6281
DjKrK9bhoJs,,3729
WmGcGoCXGTc,,1137
yg2yEId9MKQ,,10297
dOUV2rwMr1g,,16343
_UbbVzlda8Q,,30
Ed1NqTzN42Q,,2430
XArDu4E3TeM,,1095
onQz5g7lEqU,,984
etpXGAII_so,,755
w4rlMwZjiLQ,,989
5LFdcZe7WW4,,5830
t_FyYz1pOVg,,1363
lgw93uaabyE,,1321
g0eO74UmRBs,,87512
d4xTfc_-FK4,,1085
HT7g_9eNnYk,,25531
qoq8B8ThgEM,,180040
oOzr18KsFKQ,,2852
MXg6Usdjl5c,,10390
vuo4wbREE4U,,2866
clsZqb0eT8A,,3636
fRgM4ZyYRTg,,3901
facFt1NPD7o,,866
O8BXjZQxAOk,,13884
EKFLiAztJ5Y,,9999
PfmXm6ucyOM,,2353
GJ7yJnJIvdY,,1829
KTjrTSd2TkI,,965
l5LQmODJ4wQ,,4853
76tkBEla6Oo,,1826
YvAWnKipyEo,,788
xVHhTbvMFDU,,855
Lbjz76KV5ok,,1330
O3HhYqeIvlQ,,200
jjLJxGNTZI4,,599
sLdHansPr20,,0
kjeG7tRMEO8,,1540
aX-zsq9UJpc,,3655
3H6cdC8ql-4,,578
qCSu-X_aEvo,,4238
g9O2YTtdaZA,,1980
lXZPMb51IQU,,4497
LE8-4aRf5VQ,,7815
ZfXpo1ghR8s,,928
5IQ645-UUV4,,7335
9noRI6Vx0JM,,539
UtHbm8xqpjE,,11289
9GvPvlWLhlI,,2798
jEUaZEul13c,,9034
Y3dnvwkS3c4,,3352
b4r_LadvoMI,,39
sLgTM5GgGmc,,8999
WqUXVw0WlXc,,83878
V2qQsNofEgU,,6157
pfHxl46KyZM,,21454
kZqH9Kfv6BI,,58119
YPlIhgAX9AQ,,2744
YgJXhrSxa7Q,,9320
mt9xg0mmt28,,18661
g0Bs_F0qSP4,,1953
8EuvtjDUDN4,,1062
dI52waMaugc,,1674
VkodoR4Gz9k,,0
uC1iJcYOyeY,,37507
zWEOx7TSM6I,,85965
KzBa4ZKTVjE,,25799
AuaxSYVNYxE,,111
uPKIFhxcmxY,,37
zJ2ZJZl4G4s,,155
MGJrJGqdHpc,,3827
U6J_Pkqk5Fs,,7481
7rBvBPH5w-8,,9
HWeFjKxuIyc,,7
KAv6SE37Q00,,10
6dEikfRJDdU,,17
MvDe9fKyK14,,0
mI9UseOt7Ds,,152
fd-D5oSv9x4,,610
nPQ8PO3MJ2E,,2066
8l4ari7GVjQ,,188
N_QxbKTHV9k,,21
x0S2tDrD_5c,,12
5dx4sCpP8Ig,,11
rCPtwtzeYMQ,,8
_v4t9faGahE,,21
5URQfLvCJKw,,15
5HnIMU3kV-w,,15
k5xLgizQh7k,,7
hcRF1lTOfGI,,26
jzXqz5RQQG8,,11
m6Y8xEfyXTs,,66784
tQ0mzXRk-oM,,89145
qFkNATtc3mc,,77926
qNzRegSmiFk,,131
iAeSIJBoclI,,169
BPEjJJ8mpv4,,652
7k7fDGeG7JU,,259
J12hDaRPNgg,,1677
CyLmIcYE92U,,81
ZHWHe3CqC88,,1136
